r,p,y
1.9,-3.5,13.0
2.5,-4.7,13.2
2.8,-5.2,13.6
8.2,-18.6,16.1
23.9,-29.0,17.1
21.3,-21.9,16.3
6.6,-7.6,14.3
2.1,-3.9,13.3
2.5,-4.6,13.5
2.9,-5.5,13.8
1.1,-9.3,14.2
20.1,-26.1,16.7
24.7,-27.1,17.2
18.0,-14.7,15.3
3.5,-4.8,13.5
2.2,-3.7,13.5
2.7,-4.8,13.7
3.2,-5.6,14.2
4.5,-16.3,15.9
24.1,-29.2,17.7
22.1,-22.9,17.0
9.8,-9.1,15.1
2.4,-4.3,13.9
2.5,-4.4,14.1
2.8,-5.0,14.2
3.2,-5.7,14.5
14.9,-22.8,17.2
24.5,-29.1,17.9
19.7,-18.7,16.5
6.6,-6.9,14.8
2.4,-4.2,14.3
2.6,-4.7,14.4
3.1,-5.6,14.6
2.7,-6.5,14.7
21.2,-27.5,18.2
24.7,-27.4,18.1
17.8,-14.6,16.2
5.0,-5.9,14.4
2.6,-4.4,14.7
3.1,-5.4,14.9
3.3,-5.8,15.1
5.2,-16.9,16.7
23.4,-29.0,18.7
23.3,-24.6,18.0
12.3,-10.6,16.2
3.1,-5.1,15.0
2.6,-4.6,15.0
3.1,-5.7,15.3
3.3,-6.0,15.5
9.2,-19.6,18.1
24.2,-29.7,18.9
19.9,-18.9,17.5
6.9,-8.0,16.2
2.4,-4.5,15.4
2.7,-5.2,15.5
3.0,-5.8,15.6
2.6,-7.0,15.8
21.5,-28.2,19.5
23.5,-26.3,19.2
15.1,-12.1,17.2
3.8,-5.4,15.5
2.9,-4.7,15.6
3.5,-5.9,15.8
3.7,-6.2,16.1
15.7,-23.2,18.7
25.1,-29.8,19.3
20.4,-19.4,17.9
6.8,-7.3,16.4
2.8,-5.0,16.0
3.1,-5.6,16.1
3.4,-6.2,16.3
3.1,-6.9,16.3
21.4,-28.2,19.9
24.3,-26.7,19.7
15.5,-12.5,17.8
3.3,-5.4,16.2
2.6,-4.8,16.2
3.2,-5.9,16.4
3.4,-6.3,16.7
1.9,-14.2,17.3
23.2,-29.3,20.2
23.2,-25.3,19.7
12.4,-10.9,17.8
2.6,-5.2,16.3
2.9,-5.7,16.5
3.2,-6.3,16.6
3.4,-6.7,16.9
15.5,-23.9,19.6
24.9,-29.3,20.3
18.4,-16.0,18.3
5.1,-6.8,16.5
2.6,-5.1,16.6
3.0,-6.1,16.8
3.4,-6.7,17.1
1.4,-13.9,17.8
21.2,-28.7,20.8
23.7,-26.8,20.5
12.6,-11.3,18.3
3.2,-5.9,16.9
2.6,-5.3,16.9
3.3,-6.7,17.2
3.4,-6.7,17.3
12.5,-22.0,20.1
24.5,-30.1,20.8
19.9,-20.0,19.3
6.7,-8.6,18.1
2.7,-5.5,17.3
3.0,-6.1,17.5
3.3,-6.7,17.6
3.4,-6.8,17.8
18.8,-26.0,20.5
24.6,-30.0,21.1
17.7,-15.7,19.2
4.3,-6.6,17.4
2.6,-5.4,17.5
3.3,-6.7,17.8
3.4,-6.8,17.9
8.2,-20.0,20.5
23.4,-30.2,21.5
21.8,-23.9,20.6
6.6,-8.9,18.7
2.7,-5.6,17.8
3.0,-6.2,18.0
3.4,-7.0,18.1
3.3,-7.5,18.2
19.9,-27.4,21.2
24.4,-29.7,21.8
16.9,-14.5,19.7
4.4,-6.8,17.9
2.8,-5.6,18.1
3.4,-6.9,18.4
3.5,-7.1,18.5
8.4,-20.2,20.9
24.3,-30.8,21.9
20.8,-22.6,20.9
9.0,-10.3,19.3
2.7,-7.4,18.0
2.6,-6.9,18.0
3.2,-7.9,18.2
3.3,-7.9,18.4
12.0,-23.3,21.3
24.1,-31.5,21.8
19.9,-22.5,20.7
6.4,-9.4,19.1
2.7,-6.6,18.2
2.8,-6.9,18.3
3.2,-7.5,18.4
3.5,-8.0,18.8
14.2,-24.3,21.4
24.6,-30.8,22.1
17.5,-16.4,19.9
4.7,-7.9,18.4
2.9,-6.8,18.6
3.3,-7.5,18.8
3.6,-7.9,19.0
1.0,-13.5,19.5
24.0,-31.4,22.4
21.7,-24.7,21.7
11.3,-11.7,20.0
2.9,-6.8,18.8
2.9,-6.8,19.0
3.4,-7.9,19.2
3.5,-7.9,19.4
11.5,-22.6,22.0
24.3,-31.5,22.7
19.9,-21.8,21.5
6.3,-8.9,19.6
3.0,-6.7,19.2
3.2,-7.3,19.3
3.7,-8.0,19.4
3.7,-8.1,19.6
16.0,-25.1,22.3
25.2,-30.8,22.9
18.4,-19.5,21.4
4.5,-7.8,19.4
3.1,-6.6,19.5
3.6,-7.7,19.7
3.8,-8.1,19.9
2.0,-12.0,20.3
22.3,-30.1,23.1
25.1,-29.5,23.1
16.5,-15.1,21.3
3.9,-7.6,19.8
3.2,-6.6,19.8
3.8,-7.8,20.0
4.0,-8.2,20.3
2.9,-16.6,21.0
23.2,-30.8,23.3
25.1,-29.2,23.3
15.8,-14.2,21.7
3.8,-7.4,20.1
3.3,-6.7,20.1
3.8,-7.8,20.4
4.1,-8.3,20.7
7.4,-20.4,22.6
24.7,-31.7,23.9
21.3,-23.9,23.0
10.1,-11.3,21.6
3.6,-7.6,20.4
3.4,-7.1,20.5
4.0,-8.2,20.7
4.1,-8.3,20.9
9.0,-21.5,23.1
25.3,-32.1,24.0
22.2,-25.4,23.5
11.8,-12.2,22.0
3.5,-7.6,20.6
3.4,-7.4,20.7
3.9,-8.6,21.0
4.0,-8.6,21.1
14.0,-24.7,23.8
24.9,-32.1,24.3
20.4,-22.8,23.3
7.0,-10.0,21.5
3.4,-7.5,20.8
3.6,-7.8,21.0
4.1,-8.8,21.2
4.0,-9.1,21.3
20.8,-28.9,23.9
25.7,-31.7,24.4
17.8,-18.6,22.6
5.6,-9.0,21.0
3.5,-7.6,21.3
3.9,-8.5,21.5
4.1,-8.8,21.5
3.9,-9.5,21.6
20.4,-29.4,24.4
24.8,-29.4,24.6
14.9,-14.2,22.9
3.7,-8.0,21.5
3.5,-7.6,21.6
4.2,-8.9,21.8
4.2,-9.0,22.0
17.9,-27.3,24.5
25.6,-32.3,25.0
18.5,-20.2,23.8
5.4,-8.9,21.6
3.3,-7.5,21.8
3.8,-8.4,22.1
4.1,-8.9,22.2
2.3,-12.7,22.7
22.2,-31.5,25.9
24.4,-29.4,25.5
15.2,-14.3,23.4
3.6,-8.1,22.2
3.3,-7.5,22.2
3.9,-8.8,22.4
3.9,-8.7,22.5
9.1,-22.3,25.1
24.8,-32.4,25.8
20.9,-23.9,25.1
7.4,-10.2,22.8
3.5,-7.6,22.3
3.7,-8.1,22.5
4.0,-8.8,22.6
4.1,-8.9,22.8
19.0,-28.1,25.5
25.6,-31.3,25.9
18.6,-19.2,24.1
5.3,-8.7,22.6
3.4,-7.5,22.8
3.8,-8.5,23.0
4.0,-8.6,23.0
3.0,-10.8,23.3
20.7,-30.2,26.2
24.6,-29.4,26.2
16.0,-14.9,24.3
4.5,-8.3,22.9
3.5,-7.4,22.9
4.2,-8.9,23.3
4.3,-8.9,23.4
14.6,-25.2,26.1
25.7,-31.3,26.4
18.1,-17.2,24.4
5.5,-8.9,23.1
3.8,-8.0,23.3
4.2,-8.9,23.5
4.4,-9.1,23.6
4.0,-18.3,24.7
25.2,-32.7,26.5
22.5,-25.8,26.1
10.9,-12.5,24.3
3.9,-9.0,23.6
3.8,-8.7,23.7
4.1,-9.1,23.8
4.2,-9.2,24.0
15.8,-26.1,26.2
25.9,-33.1,26.8
21.7,-24.8,26.2
7.7,-11.0,24.3
4.1,-9.0,24.0
4.1,-9.0,24.1
4.3,-9.3,24.2
4.3,-9.4,24.3
11.4,-23.9,26.5
25.6,-33.4,27.0
22.3,-25.7,26.6
7.8,-11.6,24.6
3.9,-9.3,24.1
3.9,-9.1,24.2
4.1,-9.5,24.3
4.2,-9.5,24.4
14.9,-26.4,27.2
25.4,-33.5,27.5
20.2,-23.0,26.4
6.8,-10.7,24.4
3.9,-9.2,24.5
4.0,-9.2,24.5
4.2,-9.6,24.6
2.6,-13.2,25.1
21.8,-31.6,27.8
24.8,-30.3,27.7
13.0,-14.0,25.6
3.9,-9.2,24.5
3.6,-8.9,24.7
4.0,-9.5,24.8
4.1,-9.6,24.9
13.0,-25.1,27.6
25.4,-33.5,28.0
21.3,-24.6,27.2
7.9,-11.3,25.3
4.0,-9.1,24.9
4.1,-9.3,25.1
4.3,-9.7,25.2
4.4,-9.7,25.3
14.5,-26.1,27.9
25.4,-33.4,28.3
19.4,-20.1,26.3
5.7,-10.0,25.0
4.0,-9.3,25.3
4.3,-9.8,25.5
4.3,-9.7,25.5
3.9,-19.2,26.6
22.5,-32.4,28.8
24.1,-29.4,28.5
15.5,-15.7,26.8
4.6,-9.5,25.6
3.9,-8.9,25.7
4.3,-9.9,26.0
4.4,-9.8,26.0
9.4,-23.2,28.1
26.0,-33.8,28.5
21.7,-25.5,28.1
7.9,-11.8,26.3
4.1,-9.5,26.0
4.1,-9.5,26.0
4.4,-10.1,26.2
2.9,-13.7,26.6
21.7,-30.9,28.7
25.4,-31.7,29.0
16.8,-17.1,27.3
4.3,-9.8,25.9
3.5,-8.9,26.0
4.0,-10.1,26.3
4.1,-10.1,26.3
6.2,-21.4,27.9
25.3,-33.7,28.9
22.7,-26.9,28.7
7.5,-11.4,26.5
4.1,-9.8,26.4
4.0,-9.4,26.4
4.3,-10.0,26.5
4.4,-10.0,26.7
20.8,-29.8,28.9
25.7,-32.6,29.5
18.1,-18.4,27.8
4.6,-10.1,26.6
3.6,-9.1,26.4
4.1,-10.0,26.6
4.3,-10.4,26.6
6.6,-21.8,28.5
23.3,-33.4,29.8
23.2,-28.2,29.5
12.8,-14.6,27.8
4.3,-9.9,26.8
4.0,-9.5,26.9
4.3,-10.3,27.2
4.4,-10.3,27.2
